,NAME,ID,NAME_TYPE,CLASS,MASS [kg],FALL,YEAR,LAT,LONG,COORDINATE,COUNTRY,CONTINENT
12336,Gladstone (iron),10920,Valid,"Iron, IAB-MG",736.6,Found,1915,-23.9,151.3,"(-23.9, 151.3)",Australia,Oceania
12337,Gladstone (stone),10921,Valid,H4,57.3,Found,1936,36.3,-104.0,"(36.3, -104.0)",United States,North America
12338,Glasgow,10927,Valid,"Iron, IIIAB",20.4,Found,1922,37.0167,-85.9167,"(37.01667, -85.91667)",United States,North America
12340,Glen Rose (iron),10932,Valid,"Iron, ungrouped",11.0,Found,1934,32.25,-97.7167,"(32.25, -97.71667)",United States,North America
12341,Glenormiston,10933,Valid,"Iron, ungrouped",40.8,Found,1925,-22.9,138.717,"(-22.9, 138.71667)",Australia,Oceania
12344,Gnowangerup,10937,Valid,"Iron, IIIAB",33.6,Found,1976,-34.0,118.1,"(-34.0, 118.1)",Australia,Oceania
12346,Gobabeb,10939,Valid,H4,27.0,Found,1969,-23.55,15.0333,"(-23.55, 15.03333)",Namibia,Africa
12347,Gold Basin,10940,Valid,L4,61.0,Found,1995,35.875,-114.233,"(35.875, -114.23333)",United States,North America
12351,Gomez,10944,Valid,L6,47.0,Found,1974,33.1814,-102.401,"(33.18139, -102.40139)",United States,North America
12352,Goodland,10945,Valid,L4,3.63,Found,1923,39.35,-101.667,"(39.35, -101.66667)",United States,North America
12353,Goose Creek,10946,Valid,H5,2.13,Found,1999,37.435,-98.3183,"(37.435, -98.31833)",United States,North America
12354,Goose Lake,10947,Valid,"Iron, IAB-sLL",1169.5,Found,1938,41.98,-120.542,"(41.98, -120.54167)",United States,North America
12355,Goronyo,34019,Valid,H4,11.0,Found,2001,13.2667,5.4,"(13.26667, 5.4)",Nigeria,Africa
12359,Grady (1933),10951,Valid,L3-6,4.23,Found,1933,34.8,-103.317,"(34.8, -103.31667)",United States,North America
12360,Grady (1937),10952,Valid,H3.7,9.3,Found,1937,34.8,-103.317,"(34.8, -103.31667)",United States,North America
12361,Grady (c),10953,Valid,H4,5.7,Found,1970,34.8,-103.317,"(34.8, -103.31667)",United States,North America
12364,Grandview,47730,Valid,L5,6.4,Found,2008,32.7883,-101.938,"(32.788333, -101.938333)",United States,North America
12365,Grant,10957,Valid,"Iron, IIIAB",525.0,Found,1929,35.1667,-107.883,"(35.16667, -107.88333)",United States,North America
12366,Grant County,10958,Valid,L6,2.3,Found,1936,37.4667,-101.433,"(37.46667, -101.43333)",United States,North America
12367,Grassland,10959,Valid,L4,4.4,Found,1964,33.1167,-101.583,"(33.11667, -101.58333)",United States,North America
12389,Graves Nunataks 95200,10960,Valid,L5,25.07,Found,1995,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12390,Graves Nunataks 95201,10961,Valid,H5,2.99,Found,1995,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12391,Graves Nunataks 95202,10962,Valid,H5,2.01,Found,1995,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12422,Graves Nunataks 98001,10993,Valid,H5,7.3,Found,1998,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12452,Graves Nunataks 98031,11023,Valid,H4,2.31,Found,1998,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12470,Graves Nunataks 98049,11041,Valid,L6,2.34,Found,1998,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12605,Graves Nunataks 98186,11176,Valid,H6,29.0,Found,1998,-86.7167,-141.5,"(-86.71667, -141.5)",Antarctica,Antarctica
12606,Grayton,11177,Valid,H5,11.3,Found,1983,30.3117,-86.1667,"(30.31167, -86.16667)",United States,North America
12608,Great Bend,11180,Valid,H6,28.77,Found,1983,38.395,-98.9158,"(38.395, -98.91583)",United States,North America
12618,Great Sand Sea 019,11190,Valid,LL6,12.0,Found,1999,25.5367,25.6578,"(25.53667, 25.65778)",Egypt,Africa
12619,Great Sand Sea 020,11191,Valid,H,5.42,Found,2000,26.0167,25.7333,"(26.01667, 25.73333)",Egypt,Africa
12645,Gressk,11200,Valid,"Iron, IIAB",303.0,Found,1955,53.2333,27.3333,"(53.23333, 27.33333)",Belarus,Europe
12646,Gretna,11201,Valid,L5,82.0,Found,1912,39.9333,-99.2167,"(39.93333, -99.21667)",United States,North America
12649,Griffith,11204,Valid,"Iron, ungrouped",6.0,Found,1985,33.7167,-102.817,"(33.71667, -102.81667)",United States,North America
12651,Grosvenor Mountains 85200,11209,Valid,H5,3.82,Found,1985,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12657,Grosvenor Mountains 85206,11215,Valid,H5,2.42,Found,1985,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12658,Grosvenor Mountains 85207,11216,Valid,L6,2.37,Found,1985,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12664,Grosvenor Mountains 85213,11222,Valid,L6,4.36,Found,1985,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12670,Grosvenor Mountains 95500,11228,Valid,L6,10.0,Found,1995,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12671,Grosvenor Mountains 95501,11229,Valid,L6,8.0,Found,1995,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12672,Grosvenor Mountains 95502,11230,Valid,L3.2,5.36,Found,1995,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12673,Grosvenor Mountains 95503,11231,Valid,L6,4.8,Found,1995,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12674,Grosvenor Mountains 95504,11232,Valid,L3.5,4.02,Found,1995,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
12675,Grosvenor Mountains 95505,11233,Valid,L3.4,2.03,Found,1995,-85.6667,175.0,"(-85.66667, 175.0)",Antarctica,Antarctica
13295,Grove Mountains 021603,30708,Valid,H3,4.36,Found,2003,-72.8228,75.2964,"(-72.82278, 75.29639)",Antarctica,Antarctica
13533,Grove Mountains 022021,30713,Valid,LL5,2.95,Found,2003,-72.7806,75.3169,"(-72.78056, 75.31694)",Antarctica,Antarctica
14267,Grove Mountains 050128,46425,Valid,L6,3.7,Found,2006,-72.9783,75.2603,"(-72.97833, 75.26028)",Antarctica,Antarctica
14350,Grove Mountains 051532,48192,Valid,H5,4.68,Found,2006,-72.9355,75.3131,"(-72.935556, 75.313056)",Antarctica,Antarctica
15046,Grove Mountains 053689,50571,Valid,H4,2.81,Found,2006,-72.8256,75.3514,"(-72.82556, 75.35139)",Antarctica,Antarctica
15331,Gruver,11428,Valid,H4,13.1,Found,1934,36.3333,-101.4,"(36.33333, -101.4)",United States,North America
15333,Guadalupe y Calvo,11431,Valid,"Iron, IIAB",58.63,Found,1971,26.1,-106.967,"(26.1, -106.96667)",Mexico,North America
15334,Guanaco,11433,Valid,"Iron, IIG",13.1,Found,2000,-25.1,-69.5333,"(-25.1, -69.53333)",Chile,South America
15335,Guanghua,11434,Valid,"Iron, IVA",190.0,Found,1932,32.4,111.7,"(32.4, 111.7)",China,Asia
15337,Guffey,11441,Valid,"Iron, ungrouped",309.0,Found,1907,38.7667,-105.517,"(38.76667, -105.51667)",United States,North America
15339,Guin,11445,Valid,"Iron, ungrouped",34.5,Found,1969,33.9667,-87.9167,"(33.96667, -87.91667)",United States,North America
15343,Gun Creek,11451,Valid,"Iron, ungrouped",22.7,Found,1909,34.0,-111.0,"(34.0, -111.0)",United States,North America
15344,Gundaring,11452,Valid,"Iron, IIIAB",112.5,Found,1937,-33.3,117.667,"(-33.3, 117.66667)",Australia,Oceania
15345,Gunlock,11453,Valid,L3.2,6.8,Found,1982,37.2833,-113.783,"(37.28333, -113.78333)",United States,North America
15358,Hagersville,11470,Valid,"Iron, IAB complex",30.0,Found,1999,42.9667,-80.15,"(42.96667, -80.15)",Canada,North America
15359,Haig,11471,Valid,"Iron, IIIAB",503.0,Found,1951,-31.3833,125.633,"(-31.38333, 125.63333)",Australia,Oceania
15368,Hambleton,36590,Valid,"Pallasite, PMG",17.6,Found,2005,54.2403,-1.19889,"(54.24028, -1.19889)",United Kingdom,Europe
15369,Hamilton (Queensland),11483,Valid,L6,68.0,Found,1966,-28.4833,148.25,"(-28.48333, 148.25)",Australia,Oceania
15370,Hamilton (Texas),11484,Valid,OC,2.7,Found,1965,31.5933,-98.25,"(31.59333, -98.25)",United States,North America
15371,Hammadah al Hamra 001,11486,Valid,H5,19.42,Found,1990,29.0,12.2333,"(29.0, 12.23333)",Libya,Africa
15373,Hammadah al Hamra 003,11488,Valid,H5,2.38,Found,1990,28.9833,12.1833,"(28.98333, 12.18333)",Libya,Africa
15380,Hammadah al Hamra 010,11495,Valid,H5,2.08,Found,1990,28.65,12.6333,"(28.65, 12.63333)",Libya,Africa
15387,Hammadah al Hamra 019,11502,Valid,H6,13.43,Found,1990,29.0667,12.6833,"(29.06667, 12.68333)",Libya,Africa
15408,Hammadah al Hamra 040,11523,Valid,L6,4.41,Found,1990,29.1,11.8333,"(29.1, 11.83333)",Libya,Africa
15419,Hammadah al Hamra 051,11534,Valid,H6,12.0,Found,1994,28.8435,12.9968,"(28.8435, 12.99683)",Libya,Africa
15420,Hammadah al Hamra 052,11535,Valid,LL5-6,2.76,Found,1994,28.9137,13.0865,"(28.91367, 13.0865)",Libya,Africa
15455,Hammadah al Hamra 087,11570,Valid,L6,22.11,Found,1995,28.5958,13.269,"(28.59583, 13.269)",Libya,Africa
15465,Hammadah al Hamra 097,11580,Valid,L6,5.58,Found,1995,28.6217,13.4503,"(28.62167, 13.45033)",Libya,Africa
15471,Hammadah al Hamra 103,11586,Valid,L6,4.76,Found,1995,28.6182,13.1715,"(28.61817, 13.1715)",Libya,Africa
15476,Hammadah al Hamra 108,11591,Valid,H5,2.99,Found,1995,28.5757,13.295,"(28.57567, 13.295)",Libya,Africa
15477,Hammadah al Hamra 109,11592,Valid,H5,4.78,Found,1995,28.5885,12.9528,"(28.5885, 12.95283)",Libya,Africa
15483,Hammadah al Hamra 115,11598,Valid,H5,2.25,Found,1995,28.5592,13.009,"(28.55917, 13.009)",Libya,Africa
15484,Hammadah al Hamra 116,11599,Valid,H5,6.25,Found,1995,28.9162,13.0485,"(28.91617, 13.0485)",Libya,Africa
15486,Hammadah al Hamra 118,11601,Valid,H4,4.38,Found,1995,28.6683,13.3447,"(28.66833, 13.34467)",Libya,Africa
15492,Hammadah al Hamra 124,11607,Valid,H5,5.13,Found,1995,28.4723,13.1818,"(28.47233, 13.18183)",Libya,Africa
15493,Hammadah al Hamra 125,11608,Valid,H5,6.4,Found,1995,28.466,13.1242,"(28.466, 13.12417)",Libya,Africa
15494,Hammadah al Hamra 126,11609,Valid,Ureilite,2.0,Found,1995,28.475,12.9465,"(28.475, 12.9465)",Libya,Africa
15499,Hammadah al Hamra 131,11614,Valid,L6,3.3,Found,1995,28.4668,12.8947,"(28.46683, 12.89467)",Libya,Africa
15504,Hammadah al Hamra 136,11619,Valid,L6,4.09,Found,1995,28.5305,13.3892,"(28.5305, 13.38917)",Libya,Africa
15510,Hammadah al Hamra 142,11625,Valid,H5/6,3.6,Found,1995,28.4782,13.0198,"(28.47817, 13.01983)",Libya,Africa
15514,Hammadah al Hamra 146,11629,Valid,H5,2.65,Found,1995,28.6253,12.8745,"(28.62533, 12.8745)",Libya,Africa
15515,Hammadah al Hamra 147,11630,Valid,H4,6.6,Found,1995,28.6602,12.75,"(28.66017, 12.75)",Libya,Africa
15516,Hammadah al Hamra 148,11631,Valid,L5,15.77,Found,1995,28.7197,12.8643,"(28.71967, 12.86433)",Libya,Africa
15521,Hammadah al Hamra 153,11636,Valid,H3.8-4,50.0,Found,1995,28.6003,13.5775,"(28.60033, 13.5775)",Libya,Africa
15523,Hammadah al Hamra 155,11638,Valid,H4/5,4.06,Found,1995,28.5882,13.4508,"(28.58817, 13.45083)",Libya,Africa
15541,Hammadah al Hamra 173,11656,Valid,L6,45.0,Found,1996,28.6367,13.1965,"(28.63667, 13.1965)",Libya,Africa
15551,Hammadah al Hamra 183,11666,Valid,LL6,5.0,Found,1996,28.6107,13.3342,"(28.61067, 13.33417)",Libya,Africa
15552,Hammadah al Hamra 184,11667,Valid,H4,2.01,Found,1996,28.4807,13.0313,"(28.48067, 13.03133)",Libya,Africa
15586,Hammadah al Hamra 218,11701,Valid,LL4-6,2.54,Found,1997,28.6448,13.323,"(28.64483, 13.323)",Libya,Africa
15588,Hammadah al Hamra 220,11703,Valid,H4,4.15,Found,1997,28.932,12.6253,"(28.932, 12.62533)",Libya,Africa
15590,Hammadah al Hamra 222,11705,Valid,L6,3.39,Found,1997,29.187,11.6017,"(29.187, 11.60167)",Libya,Africa
15591,Hammadah al Hamra 223,11706,Valid,L6,2.83,Found,1997,29.1863,11.6057,"(29.18633, 11.60567)",Libya,Africa
15593,Hammadah al Hamra 225,11708,Valid,H4-5,2.47,Found,1997,28.9593,12.334,"(28.95933, 12.334)",Libya,Africa
15604,Hammadah al Hamra 236,11719,Valid,L4,8.26,Found,1997,28.5263,13.0652,"(28.52633, 13.06517)",Libya,Africa
15605,Hammadah al Hamra 237,11720,Valid,CBb,3.17,Found,1997,28.6093,13.0492,"(28.60933, 13.04917)",Libya,Africa
15616,Hammadah al Hamra 248,11731,Valid,H3.9,2.35,Found,1997,28.643,12.7753,"(28.643, 12.77533)",Libya,Africa
15618,Hammadah al Hamra 250,11733,Valid,H5,2.65,Found,1997,28.8287,12.9283,"(28.82867, 12.92833)",Libya,Africa
15627,Hammadah al Hamra 259,11742,Valid,H5,5.06,Found,1998,28.75,11.5667,"(28.75, 11.56667)",Libya,Africa
15634,Hammadah al Hamra 266,11749,Valid,L5,3.26,Found,2000,28.4788,12.8637,"(28.47883, 12.86367)",Libya,Africa
15648,Hammadah al Hamra 280,11763,Valid,CK4,26.5,Found,2000,28.4702,12.972,"(28.47017, 12.972)",Libya,Africa
15649,Hammadah al Hamra 281,11764,Valid,CK4,3.6,Found,2000,28.4925,13.213,"(28.4925, 13.213)",Libya,Africa
15656,Hammadah al Hamra 288,11771,Valid,H6,2.62,Found,1999,29.0755,12.5778,"(29.0755, 12.57783)",Libya,Africa
15657,Hammadah al Hamra 289,11772,Valid,L5,3.03,Found,1999,29.0952,12.5655,"(29.09517, 12.5655)",Libya,Africa
15658,Hammadah al Hamra 290,11773,Valid,H6,5.2,Found,1999,29.0148,12.6275,"(29.01483, 12.6275)",Libya,Africa
15660,Hammadah al Hamra 292,11775,Valid,H4,3.57,Found,2000,29.021,10.5378,"(29.021, 10.53783)",Libya,Africa
15662,Hammadah al Hamra 294,11777,Valid,L6,3.71,Found,2000,29.1,12.3167,"(29.1, 12.31667)",Libya,Africa
15664,Hammadah al Hamra 296,11779,Valid,H5/6,27.06,Found,2000,29.1,12.3167,"(29.1, 12.31667)",Libya,Africa
15688,Hammadah al Hamra 320,11803,Valid,H6,7.82,Found,2001,28.9707,12.206,"(28.97067, 12.206)",Libya,Africa
15695,Hammadah al Hamra 328,11811,Valid,H5,30.44,Found,1999,28.9583,10.5917,"(28.95833, 10.59167)",Libya,Africa
15698,Hammadah al Hamra 331,30719,Valid,L5/6,2.2,Found,2003,29.8186,12.9465,"(29.81858, 12.94647)",Libya,Africa
15710,Hammadah al Hamra 344,55727,Valid,H~6,2.32,Found,2000,28.9907,12.9798,"(28.99065, 12.97985)",Libya,Africa
15712,Hammond Downs,11814,Valid,H4,27.0,Found,1950,-25.4667,142.8,"(-25.46667, 142.8)",Australia,Oceania
15715,Happy (a),11818,Valid,H3,2.86,Found,1971,35.68,-101.993,"(35.68, -101.99333)",United States,North America
15716,Happy (b),11819,Valid,OC,2.5,Found,1972,34.5933,-101.993,"(34.59333, -101.99333)",United States,North America
15718,Happy Canyon,11821,Valid,EL6/7,16.3,Found,1971,34.8017,-101.567,"(34.80167, -101.56667)",United States,North America
15719,Hardesty,11825,Valid,"Iron, IIIAB",8.58,Found,1986,36.57,-101.19,"(36.57, -101.19)",United States,North America
15720,Harding County,11826,Valid,L4,3.08,Found,1941,45.5,-103.5,"(45.5, -103.5)",United States,North America
15721,Hardtner,11827,Valid,L6,13.0,Found,1972,37.0667,-98.6617,"(37.06667, -98.66167)",United States,North America
15722,Hardwick,11828,Valid,L4,7.8,Found,1937,43.8,-96.1667,"(43.8, -96.16667)",United States,North America
15723,Harlowton,11831,Valid,"Iron, IAB-ung",4.0,Found,1975,46.4333,-109.833,"(46.43333, -109.83333)",United States,North America
15737,Harriman (Of),11840,Valid,"Iron, IVA",30.0,Found,1947,35.95,-84.5667,"(35.95, -84.56667)",United States,North America
15738,Harriman (Om),11841,Valid,"Iron, IIIAB",13.0,Found,1938,35.95,-84.5667,"(35.95, -84.56667)",United States,North America
15739,Harrison Township,11843,Valid,L6,3.26,Found,1945,38.3333,-101.712,"(38.33333, -101.71167)",United States,North America
15740,Harrisonville,11844,Valid,L6,46.5,Found,1933,38.65,-94.3333,"(38.65, -94.33333)",United States,North America
15743,Hartley,11847,Valid,L,2.1,Found,1967,35.9417,-102.16,"(35.94167, -102.16)",United States,North America
15745,Haskell,11849,Valid,L5,36.0,Found,1909,33.2133,-99.7317,"(33.21333, -99.73167)",United States,North America
15746,Hasparos,11850,Valid,"Iron, IAB-MG",12.88,Found,1935,34.0,-105.5,"(34.0, -105.5)",United States,North America
15747,Hassayampa,11851,Valid,H4,16.0,Found,1963,33.75,-112.667,"(33.75, -112.66667)",United States,North America
15748,Hat Creek,11853,Valid,H4,8.9,Found,1939,42.9167,-104.417,"(42.91667, -104.41667)",United States,North America
15752,Haven,11858,Valid,H6,6.1,Found,1950,37.9642,-97.7558,"(37.96417, -97.75583)",United States,North America
15754,Haviland (b),11861,Valid,H5,2.09,Found,1976,37.5967,-99.125,"(37.59667, -99.125)",United States,North America
15756,Haxtun,11863,Valid,H/L4,15.5,Found,1975,40.4567,-102.578,"(40.45667, -102.57834)",United States,North America
15758,Hayes Center,11865,Valid,L6,4.5,Found,1941,40.5167,-101.033,"(40.51667, -101.03333)",United States,North America
15759,Hayy 001,55517,Valid,H5,4.21,Found,2010,20.8413,57.63,"(20.84132, 57.62995)",Oman,Asia
15760,Hebron,11867,Valid,H6,21.82,Found,1965,40.1667,-97.6,"(40.16667, -97.6)",United States,North America
15763,Henbury,11872,Valid,"Iron, IIIAB",2000.0,Found,1931,-24.5667,133.167,"(-24.56667, 133.16667)",Australia,Oceania
15764,Hendersonville,11873,Valid,L5,6.0,Found,1901,35.3167,-81.4667,"(35.31667, -81.46667)",United States,North America
15766,Hereford,11876,Valid,OC,2.28,Found,1970,33.795,-102.242,"(33.795, -102.24167)",United States,North America
15767,Hermitage Plains,11877,Valid,L6,32.0,Found,1909,-31.7333,146.4,"(-31.73333, 146.4)",Australia,Oceania
15768,Hesston,11879,Valid,L6,12.9,Found,1951,38.1167,-97.4333,"(38.11667, -97.43333)",United States,North America
15772,Hidden Valley,11882,Valid,"Iron, IIIAB",7.0,Found,1991,-19.1167,145.417,"(-19.11667, 145.41667)",Australia,Oceania
15774,Hill City,11886,Valid,"Iron, IVA",11.7,Found,1947,39.3667,-99.85,"(39.36667, -99.85)",United States,North America
15775,Hinojal,11887,Valid,L6,50.0,Found,1927,-32.3667,-60.15,"(-32.36667, -60.15)",Argentina,South America
15777,Hoba,11890,Valid,"Iron, IVB",60000.0,Found,1920,-19.5833,17.9167,"(-19.58333, 17.91667)",Namibia,Africa
15778,Hobbs,11891,Valid,H4,2.3,Found,1933,32.7333,-103.1,"(32.73333, -103.1)",United States,North America
15784,Holyoke,11900,Valid,H4,11.2,Found,1933,40.5667,-102.3,"(40.56667, -102.3)",United States,North America
15786,Hope,11905,Valid,"Iron, IAB-MG",6.8,Found,1955,33.6833,-93.6,"(33.68333, -93.6)",United States,North America
15787,Hope Creek,11906,Valid,LL6,9.83,Found,1998,65.3833,-146.267,"(65.38333, -146.26667)",United States,North America
15789,Horace,11908,Valid,H5,19.7,Found,1940,38.35,-101.783,"(38.35, -101.78333)",United States,North America
15790,Horh Uul,11909,Valid,"Iron, IIIAB",44.0,Found,2001,43.25,104.167,"(43.25, 104.16667)",Mongolia,Asia
15792,Hot Springs,11912,Valid,"Iron, IIIAB",4.7,Found,1995,39.6667,-118.967,"(39.66667, -118.96667)",United States,North America
15793,Howe,11914,Valid,H5,8.63,Found,1938,33.5,-96.6,"(33.5, -96.6)",United States,North America
15798,Hub,11921,Valid,L5,6.45,Found,1991,34.54,-102.594,"(34.54, -102.59433)",United States,North America
15799,Huckitta,11922,Valid,"Pallasite, PMG-an",2300.0,Found,1924,-22.3667,135.767,"(-22.36667, 135.76667)",Australia,Oceania
15814,Hughes 013,11937,Valid,H5,4.0,Found,1991,-30.6617,129.117,"(-30.66167, 129.11667)",Australia,Oceania
15861,Hugoton,11984,Valid,H5,350.0,Found,1927,37.2,-101.35,"(37.2, -101.35)",United States,North America
15862,Huizopa,11985,Valid,"Iron, IVA",140.0,Found,1907,28.9,-108.567,"(28.9, -108.56667)",Mexico,North America
15863,Hunter,11987,Valid,LL5,74.6,Found,1962,36.56,-97.6667,"(36.56, -97.66667)",United States,North America
15864,Huntsman,11988,Valid,H4,14.5,Found,1910,41.1833,-103.0,"(41.18333, -103.0)",United States,North America
15865,Hyattville,52755,Valid,L6,8.91,Found,2008,44.3382,-107.674,"(44.33823, -107.67405)",United States,North America
15866,Idalia,11998,Valid,H,7.4,Found,1968,39.695,-102.295,"(39.695, -102.295)",United States,North America
15867,Ider,11999,Valid,"Iron, IIIAB",140.0,Found,1957,34.6833,-85.65,"(34.68333, -85.65)",United States,North America
15870,Ikhrarene,12005,Valid,L4,5.46,Found,1969,28.6042,1.04167,"(28.60417, 1.04167)",Algeria,Africa
15872,Ilafegh 002,12007,Valid,Mesosiderite,4.12,Found,1989,21.5167,1.3,"(21.51667, 1.3)",Algeria,Africa
15878,Ilafegh 008,12013,Valid,L5,26.1,Found,1989,21.6,1.66667,"(21.6, 1.66667)",Algeria,Africa
15881,Ilafegh 011,12016,Valid,L5,2.05,Found,1989,21.6333,1.51667,"(21.63333, 1.51667)",Algeria,Africa
15884,Ilafegh 014,12019,Valid,H5,3.15,Found,1989,21.6667,1.85,"(21.66667, 1.85)",Algeria,Africa
15889,Ilinskaya Stanitza,12023,Valid,"Iron, IIIAB",5.62,Found,1915,51.2333,57.3833,"(51.23333, 57.38333)",Russia,Europe
15896,Indianola,12030,Valid,L5,4.0,Found,1939,40.2333,-100.417,"(40.23333, -100.41667)",United States,North America
15897,Indianópolis,12031,Valid,"Iron, IIAB",14.85,Found,1989,-19.1667,-47.8333,"(-19.16667, -47.83333)",Brazil,South America
15900,Ingella Station,12034,Valid,H5,50.0,Found,1987,-25.55,142.783,"(-25.55, 142.78333)",Australia,Oceania
15901,Inland Forts 83500,12035,Valid,"Iron, ungrouped",2.52,Found,1983,-77.6333,161.0,"(-77.63333, 161.0)",Antarctica,Antarctica
15902,Inman,12036,Valid,L/LL3.4,7.25,Found,1966,38.25,-97.6667,"(38.25, -97.66667)",United States,North America
15903,Ioka,12040,Valid,L3.5,31.5,Found,1931,40.25,-110.083,"(40.25, -110.08333)",United States,North America
15904,Ipitinga,12044,Valid,H5,7.0,Found,1989,0.35,-53.8167,"(0.35, -53.81667)",Brazil,South America
15910,Isheyevo,30726,Valid,CH/CBb,16.0,Found,2003,53.6167,56.3333,"(53.61667, 56.33333)",Russia,Europe
15912,Isna,12051,Valid,CO3.8,23.0,Found,1970,24.8333,31.6667,"(24.83333, 31.66667)",Egypt,Africa
15913,Isoulane-n-Amahar,12052,Valid,L6,72.0,Found,1945,27.1292,8.66722,"(27.12917, 8.66722)",Algeria,Africa
15920,Itutinga,12059,Valid,"Iron, IIIAB",3.2,Found,1960,-21.3333,-44.6667,"(-21.33333, -44.66667)",Brazil,South America
15922,Ivanovka,12061,Valid,H5,8.87,Found,1983,54.5,52.8,"(54.5, 52.8)",Russia,Europe
15926,Jalu,12070,Valid,L6,150.0,Found,2000,27.9583,21.6833,"(27.95833, 21.68333)",Libya,Africa
15928,Jaralito,12073,Valid,"Iron, IAB-MG",11.14,Found,1977,26.2658,-103.885,"(26.26583, -103.885)",Mexico,North America
15930,Javorje,53489,Valid,"Iron, IIIAB",4.92,Found,2009,46.1624,14.1917,"(46.16244, 14.19166)",Slovenia,Europe
15934,Jenkins,12080,Valid,"Iron, IAB-MG",55.4,Found,1946,36.8244,-93.7611,"(36.82444, -93.76111)",United States,North America
15936,Jepara,53840,Valid,"Pallasite, PMG",499.5,Found,2008,-6.6,110.733,"(-6.6, 110.73333)",Indonesia,Asia
15937,Jerome (Idaho),12082,Valid,L,6.8,Found,1954,42.6333,-114.833,"(42.63333, -114.83333)",United States,North America
15939,Jerslev,12084,Valid,"Iron, IIAB",40.0,Found,1976,55.6088,11.2292,"(55.608833, 11.229167)",Denmark,Europe
15943,Jiddat al Harasis 003,12091,Valid,L5,10.83,Found,1999,19.53,55.7583,"(19.53, 55.75833)",Oman,Asia
15952,Jiddat al Harasis 012,12100,Valid,L6,2.18,Found,1999,19.1963,55.7743,"(19.19633, 55.77433)",Oman,Asia
15957,Jiddat al Harasis 017,12105,Valid,L6,2.61,Found,1999,19.2422,56.1173,"(19.24217, 56.11733)",Oman,Asia
15971,Jiddat al Harasis 054,30728,Valid,Ureilite,5.08,Found,2004,19.6303,55.1152,"(19.63033, 55.11517)",Oman,Asia
15972,Jiddat al Harasis 055,12119,Valid,L4-5,200.0,Found,2004,19.6517,55.69,"(19.65167, 55.69)",Oman,Asia
15975,Jiddat al Harasis 058,12120,Valid,L6,4.18,Found,2000,19.8062,56.6871,"(19.80618, 56.68707)",Oman,Asia
15990,Jiddat al Harasis 073,12135,Valid,L6,550.0,Found,2002,19.7,55.7333,"(19.7, 55.73333)",Oman,Asia
15996,Jiddat al Harasis 079,12139,Valid,L6,3.96,Found,2003,19.9146,55.6645,"(19.91455, 55.66447)",Oman,Asia
16006,Jiddat al Harasis 090,12149,Valid,L5,92.67,Found,2002,19.7168,56.6062,"(19.71678, 56.6062)",Oman,Asia
16007,Jiddat al Harasis 091,12150,Valid,L5,123.37,Found,2002,19.6936,56.6543,"(19.69362, 56.65432)",Oman,Asia
16010,Jiddat al Harasis 094,12153,Valid,L6,3.71,Found,2002,19.9836,56.773,"(19.98358, 56.77298)",Oman,Asia
16014,Jiddat al Harasis 098,12157,Valid,H4,7.52,Found,2002,19.2286,56.0923,"(19.2286, 56.09232)",Oman,Asia
16017,Jiddat al Harasis 101,12160,Valid,L6,3.56,Found,2003,19.7507,56.9665,"(19.75073, 56.96652)",Oman,Asia
16019,Jiddat al Harasis 103,12162,Valid,L4,2.71,Found,2003,19.8579,56.9997,"(19.8579, 56.99973)",Oman,Asia
16027,Jiddat al Harasis 111,34023,Valid,L/LL4,4.24,Found,2004,19.6604,56.9617,"(19.6604, 56.96172)",Oman,Asia
16046,Jiddat al Harasis 203,45839,Valid,Mesosiderite-C2,46.2,Found,2002,19.983,56.4137,"(19.983, 56.41368)",Oman,Asia
16055,Jiddat al Harasis 212,35531,Valid,L4,2.71,Found,2003,19.8579,56.9997,"(19.8579, 56.99973)",Oman,Asia
16056,Jiddat al Harasis 213,35532,Valid,L6,3.56,Found,2003,19.7507,56.9665,"(19.75073, 56.96652)",Oman,Asia
16061,Jiddat al Harasis 218,35537,Valid,L5,2.93,Found,2005,19.7034,56.6425,"(19.7034, 56.64247)",Oman,Asia
16064,Jiddat al Harasis 221,35540,Valid,L5,4.01,Found,2005,19.7564,56.5521,"(19.75643, 56.55205)",Oman,Asia
