,NAME,ID,NAME_TYPE,CLASS,MASS [kg],FALL,YEAR,LAT,LONG,COORDINATE,COUNTRY,CONTINENT
6948,Dhofar 1071,6878,Valid,L6,4.18,Found,2000,18.854,54.6474,"(18.85395, 54.64743)",Oman,Asia
6956,Dhofar 1079,6886,Valid,H4/5,2.13,Found,2001,18.7437,54.2005,"(18.74372, 54.20047)",Oman,Asia
6960,Dhofar 1082,6890,Valid,H4/5,2.49,Found,2001,18.7421,54.1942,"(18.74215, 54.1942)",Oman,Asia
6967,Dhofar 109,6894,Valid,L6,2.21,Found,2000,18.7385,54.4782,"(18.7385, 54.47817)",Oman,Asia
6976,Dhofar 1130,33833,Valid,H4,3.42,Found,2005,19.2233,54.9358,"(19.223306, 54.935778)",Oman,Asia
7014,Dhofar 1243,33935,Valid,LL4,2.51,Found,2005,18.8759,54.4726,"(18.875861, 54.472611)",Oman,Asia
7015,Dhofar 125,6910,Valid,Acapulcoite,2.7,Found,2000,18.9867,54.6005,"(18.98667, 54.6005)",Oman,Asia
7023,Dhofar 1275,30515,Valid,L7,5.0,Found,2003,18.8285,54.6396,"(18.82852, 54.63957)",Oman,Asia
7028,Dhofar 1280,34499,Valid,H6,4.47,Found,2005,18.2772,54.2555,"(18.27717, 54.25547)",Oman,Asia
7035,Dhofar 1288,34504,Valid,H5,43.6,Found,2004,18.2783,54.285,"(18.27833, 54.285)",Oman,Asia
7036,Dhofar 1289,34505,Valid,L4,37.0,Found,2004,18.6333,54.4217,"(18.63333, 54.42167)",Oman,Asia
7058,Dhofar 131,6916,Valid,H5/6,9.68,Found,2000,19.136,54.8227,"(19.136, 54.82267)",Oman,Asia
7067,Dhofar 132,6917,Valid,Ureilite,5.01,Found,2000,19.15,54.5807,"(19.15, 54.58067)",Oman,Asia
7073,Dhofar 138,6923,Valid,L6,5.64,Found,2000,18.3113,54.3693,"(18.31133, 54.36933)",Oman,Asia
7075,Dhofar 140,6925,Valid,L5,3.17,Found,2000,18.3358,54.512,"(18.33583, 54.512)",Oman,Asia
7104,Dhofar 1426,35514,Valid,H~5,42.85,Found,2001,19.173,54.7041,"(19.173, 54.70407)",Oman,Asia
7112,Dhofar 1433,45837,Valid,H5,44.79,Found,2006,18.4333,54.1,"(18.43333, 54.1)",Oman,Asia
7118,Dhofar 1439,47354,Valid,Eucrite-mmict,5.13,Found,2003,18.5833,54.455,"(18.58333, 54.455)",Oman,Asia
7127,Dhofar 1448,51597,Valid,L~6,3.11,Found,2002,19.35,54.8,"(19.35, 54.8)",Oman,Asia
7139,Dhofar 146,6931,Valid,L6,8.8,Found,2000,18.3437,54.4157,"(18.34367, 54.41567)",Oman,Asia
7159,Dhofar 148,6933,Valid,L6,5.43,Found,2000,18.3217,54.481,"(18.32167, 54.481)",Oman,Asia
7174,Dhofar 1493,51054,Valid,L6,14.0,Found,2008,18.6738,54.4502,"(18.67378, 54.45017)",Oman,Asia
7176,Dhofar 1495,51056,Valid,L4,2.3,Found,2008,18.667,54.4349,"(18.66703, 54.43487)",Oman,Asia
7182,Dhofar 1500,53789,Valid,L~6,2.45,Found,2009,19.1826,54.5945,"(19.18258, 54.5945)",Oman,Asia
7189,Dhofar 1507,53796,Valid,L~6,2.4,Found,2009,18.6804,54.1472,"(18.68038, 54.14722)",Oman,Asia
7194,Dhofar 1511,53800,Valid,L~5,17.97,Found,2009,18.6399,54.248,"(18.63988, 54.248)",Oman,Asia
7195,Dhofar 1513,51558,Valid,L5,3.78,Found,2009,19.3377,54.5329,"(19.33766, 54.53293)",Oman,Asia
7207,Dhofar 1524,52397,Valid,H5,4.65,Found,2008,18.5113,54.6078,"(18.51133, 54.60783)",Oman,Asia
7208,Dhofar 1525,52398,Valid,H4,6.48,Found,2008,18.7763,54.3963,"(18.77633, 54.39633)",Oman,Asia
7214,Dhofar 1530,52399,Valid,H6,2.12,Found,2006,18.2192,54.3153,"(18.21917, 54.31533)",Oman,Asia
7215,Dhofar 1531,52400,Valid,L6,2.1,Found,2006,18.2192,54.3153,"(18.21917, 54.31533)",Oman,Asia
